short-name,common-name
MG Bracewell,Michael Bracewell
JP Inglis,Josh Inglis
L Wood,Luke Wood
BA Carse,Brydon Carse
WG Jacks,Will Jacks
AAP Atkinson,Gus Atkinson
Rehan Ahmed,Rehan Ahmed
SSB Magala,Sisanda Magala
Shivam Mavi,Shivam Mavi
Shubman Gill,Shubman Gill
RA Tripathi,Rahul Tripathi
BG Lister,Ben Lister
Rony Talukdar,Rony Talukdar
Towhid Hridoy,Towhid Hridoy
Tanvir Islam,Tanvir Islam
MW Short,Matt Short
G Coetzee,Gerald Coetzee
LB Williams,Lizaad Williams
AM Hardie,Aaron Hardie
SH Johnson,Spencer Johnson
T Sangha,Tanveer Sangha
D Brevis,Dewald Brevis
MP Breetzke,Matthew Breetzke
D Ferreira,Donavon Ferreira
G Motie,Gudakesh Motie
MW Forde,Matthew Forde
XC Bartlett,Xavier Bartlett
Mukesh Kumar,Mukesh Kumar
Tilak Varma,Tilak Varma
YBK Jaiswal,Yashasvi Jaiswal
JG Bethell,Jacob Bethell
JM Cox,Josh Cox
J Overton,Jamie Overton
C Connolly,Cooper Connolly
RK Singh,Rinku Singh
JM Sharma,Jaydev Unadkat Sharma
N Burger,Nandre Burger
Tanzim Hasan Sakib,Tanzim Hasan Sakib
Rishad Hossain,Rishad Hossain
JA Clarkson,James Clarkson
CJ Green,Chris Green
Parvez Hossain Emon,Parvez Hossain Emon
Mahmudul Hasan Joy,Mahmudul Hasan Joy
R Sai Kishore,R Sai Kishore
Saif Hassan,Saif Hassan
Zakir Hasan,Zakir Hasan
Shahadat Hossain,Shahadat Hossain
Jaker Ali,Jaker Ali
Mrittunjoy Chowdhury,Mrittunjoy Chowdhury
Shahbaz Ahmed,Shahbaz Ahmed
Rakibul Hasan,Rakibul Hasan
R Mondol,Ripon Mondol
Hasan Murad,Hasan Murad
Tanzid Hasan,Tanzid Hasan
OEG Baartman,Ottniel Baartman
S Joseph,Shamar Joseph
RD Rickelton,Ryan Rickelton
N Peter,Nyeem Peter
PE Kruger,Peet Kruger
A Athanaze,Alick Athanaze
KT Maphaka,Kwena Maphaka
JF Smith,Jordan Smith
T Hinds,Tevin Hinds
JA Turner,Joel Turner
JNT Seales,Jayden Seales
JP Greaves,Justin Greaves
MP Yadav,Musheer Yadav
Abhishek Sharma,Abhishek Sharma
R Parag,Riyan Parag
JL Smith,Jordan Smith
Dhruv Jurel,Dhruv Jurel
Harshit Rana,Harshit Rana
A Simelane,Andile Simelane
Ramandeep Singh,Ramandeep Singh
B Lee,Brett Lee
ME Trescothick,Marcus Trescothick
GO Jones,Geraint Jones
GD McGrath,Glenn McGrath
A Flintoff,Andrew Flintoff
MS Kasprowicz,Michael Kasprowicz
KP Pietersen,Kevin Pietersen
JN Gillespie,Jason Gillespie
MJ Clarke,Michael Clarke
MP Vaughan,Michael Vaughan
A Symonds,Andrew Symonds
AJ Strauss,Andrew Strauss
VS Solanki,Vikram Solanki
D Gough,Darren Gough
AC Gilchrist,Adam Gilchrist
ML Hayden,Matthew Hayden
MEK Hussey,Michael Hussey
RT Ponting,Ricky Ponting
DR Martyn,Damien Martyn
SJ Harmison,Steve Harmison
DR Tuffey,Daryl Tuffey
KD Mills,Kyle Mills
SM Katich,Simon Katich
CL Cairns,Chris Cairns
JW Wilson,James Wilson
AR Adams,Andre Adams
BB McCullum,Brendon McCullum
SP Fleming,Stephen Fleming
MS Sinclair,Mathew Sinclair
SB Styris,Scott Styris
JR Hopes,James Hopes
CD McMillan,Craig McMillan
HJH Marshall,Hamish Marshall
SE Bond,Shane Bond
GC Smith,Graeme Smith
JH Kallis,Jacques Kallis
NJ Astle,Nathan Astle
HH Gibbs,Herschelle Gibbs
JS Patel,Jeetan Patel
JM Kemp,Justin Kemp
MV Boucher,Mark Boucher
SM Pollock,Shaun Pollock
AG Prince,Ashwell Prince
JA Morkel,Albie Morkel
CK Langeveldt,Charl Langeveldt
M Ntini,Makhaya Ntini
A Nel,Andre Nel
N Boje,Nicky Boje
JDP Oram,Jacob Oram
GJP Kruger,Kruger van Wyk
M Zondeki,Monde Zondeki
